what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.ve.java.core,1.5.0.R20101202-1328,"org.eclipse.ve.java.core",1316944953956
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316944955309
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316944956727
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1316944956742
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316944957020
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316944957603
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316944964610
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316944968020
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316944969701
opened,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1316944971023
activated,editor,com.android.ide.eclipse.adt,12.0.0.v201106281929-138431,"com.android.ide.eclipse.editors.manifest.ManifestEditor",1316944971115
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316944978112
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945001107
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1316945005999
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945022766
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945048249
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1316945048333
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1316945061750
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1316945068181
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945071399
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945072816
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.cleanAction",1316945072826
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945073097
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945073230
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1316945077298
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945089563
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945099891
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1316945102009
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1316945117833
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1316945117917
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1316945148894
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945157684
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1316945159333
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945180965
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1316945190711
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1316945194804
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945204878
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945205079
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.saveAll",1316945207272
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1316945225244
